CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,year,net_income_avg,net_income_avg_household,gini,p80_p20
0801502004,08015,004,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,18965,48667,29.9,2.5
0801502004,08015,004,02,015,08,09,0801502,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,16543,42131,30.5,2.6
0801503003,08015,003,03,015,08,09,0801503,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,13056,34358,28.3,2.4
0801503003,08015,003,03,015,08,09,0801503,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,12434,32855,28.4,2.4
0801503003,08015,003,03,015,08,09,0801503,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,12314,32248,29.1,2.6
0801503003,08015,003,03,015,08,09,0801503,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,12255,31725,29.1,2.6
0800601001,08006,001,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2018,13443,33287,32.9,2.9
0800601001,08006,001,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2017,12907,31518,33.2,2.8
0800601001,08006,001,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2016,12355,30071,34.2,2.9
0800601001,08006,001,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2015,11981,29194,33.6,2.9
0800601003,08006,003,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2018,12846,32746,31.8,2.8
0800601003,08006,003,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2017,11990,30713,31.2,2.8
0800601003,08006,003,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2016,11929,30224,32.2,2.8
0800601003,08006,003,01,006,08,09,0800601,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2015,11846,29519,30.4,2.6
0800602004,08006,004,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2018,11696,33215,26,2.4
0800602004,08006,004,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2017,11263,31755,27.6,2.4
0800602004,08006,004,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2016,10757,30404,28.7,2.4
0800602004,08006,004,02,006,08,09,0800602,08006,Barcelona,Cataluña,ES,5,1,1,Arenys de Mar,2015,10290,28747,28.7,2.5
0801501003,08015,003,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,18438,45240,31.2,2.7
0801501003,08015,003,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,17797,44156,30.9,2.8
0801501003,08015,003,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,17631,44189,33.7,2.7
0801501003,08015,003,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,17297,42809,31.6,2.6
0801501005,08015,005,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2018,16869,40038,30,2.7
0801501005,08015,005,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2017,16597,38423,29.9,2.8
0801501005,08015,005,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2016,16330,36737,30.1,2.7
0801501005,08015,005,01,015,08,09,0801501,08015,Barcelona,Cataluña,ES,5,1,1,Badalona,2015,16264,36300,30.5,2.6
